question,answer1,answer2,answer3,answer4,correct_answer,image_url
W części nagłówkowej kodu HTML zapisano tekst przedstawiony na obrazku. Zapisany tekst zostanie wyświetlony,na pasku tytułu przeglądarki,"w treści strony, na banerze","w polu adresu, za wpisanym adresem URL","w treści strony, w pierwszym wyświetlonym nagłówku",0,images/288.jpg
"Przeglądarka internetowa wyświetliła stronę w następujący sposób. Wskaż kod HTML, który poprawnie definiuje przedstawioną hierarchiczną strukturę tekstu:",<h1>Rozdział 1<p>tekst <h2>Podrozdział 1.1<p>tekst <h2>Podrozdział 1.2,<ul><li>Rozdział 1<li>tekst<li>Podrozdział 1.1<li>tekst<li>Podrozdział 1.2</ul>,<big>Rozdział 1</big>tekst<big>Podrozdział 1.1</big>tekst<big>Podrozdział 1.2</big>,<h1>Rozdział 1</h1> <p>tekst</p> <h2>Podrozdział 1.1</h2> <p>tekst</p> <h2>Podrozdział 1.2</h2>,3,images/289.jpg
"W języku CSS, przedstawiony zapis sprawi, że plik rysunek.png będzie",tłem całej strony,tłem każdego paragrafu,wyświetlony obok każdego paragrafu,"wyświetlony, jeśli w kodzie zostanie zastosowany znacznik img",1,images/290.jpg
"W języku CSS, aby zdefiniować niestandardowe odstępy między wyrazami, stosuje się właściwość",line-spacing,white-space,word-spacing,letter-space,2,
"W języku CSS zdefiniowano następujące formatowanie. Oznacza to, że kolorem niebieskim zostanie zapisany",cały tekst paragrafu niezależnie od jego formatowania,pochylony tekst paragrafu,cały tekst nagłówków niezależnie od ich formatowania,pogrubiony tekst paragrafu,1,images/292.jpg
"W języku CSS, zapis w następującej postaci sprawi, iż koloru czerwonego będzie",pierwsza linia paragrafu,tekst nagłówka pierwszego stopnia,pierwsza litera nagłówka drugiego stopnia,pierwsza litera nagłówka pierwszego stopnia,3,images/293.jpg
"W języku HTML informacje dotyczące autora, streszczenia i słów kluczowych strony należy umieścić","pomiędzy znacznikami <head> i </head>, w znaczniku <meta>","pomiędzy znacznikami <head> i </head>, w znaczniku <style>","pomiędzy znacznikami <body> i </body>, w znaczniku <meta>","pomiędzy znacznikami <body> i </body>, w znaczniku <html>",0,
Który z przedstawionych kodów XHTML sformatuje tekst według podanego wzoru?,A,B,C,D,3,images/295.jpg
"Kolor zapisany kodem RGB o wartości rgb(128, 16, 8) w postaci szesnastkowej ma wartość",#FF0F80,#FF1008,#801008,#800F80,2,
Które ze zdań opisuje grafikę wektorową?,"Jest to prezentacja obrazu za pomocą pionowo-poziomej siatki odpowiednio kolorowanych pikseli na monitorze komputera, drukarce lub innym urządzeniu wyjściowym",Może być przechowywana w formacie JPG lub PNG,Jest wykorzystywana do zapisu fotografii cyfrowej,Zapisywany obraz jest opisywany za pośrednictwem figur geometrycznych umieszczonych w układzie współrzędnych,3,
"Aby zbadać rozkład ilościowy poszczególnych kolorów zdjęcia, należy użyć",desaturacji,histogramu,balansu kolorów,rozmycia Gaussa,1,
W standardzie HDTV jest stosowana rozdzielczość,704 x 576 px,720 x 480 px,1280 x 1024 px,1920 x 1080 px,3,
"Którą klauzulę powinno się zastosować w poleceniu CREATE TABLE języka SQL, aby dane pole rekordu nie było puste?",NULL,CHECK,DEFAULT,NOT NULL,3,
Polecenie języka SQL w postaci,zamienia nazwę tabeli miasta na nazwę kod,dodaje do tabeli kolumnę o nazwie kod typu text,dodaje do tabeli dwie kolumny o nazwach: kod i text,w tabeli miasta zamienia nazwę kolumny kod na nazwę text,1,images/301.jpg
"W bazie danych hurtowni zdefiniowano tabelę sprzedaz o polach: id, kontrahent, grupa_cenowa, obrot. Aby wyszukać wyłącznie kontrahentów z drugiej grupy cenowej, których obrót jest większy niż 4000zł, należy zastosować polecenie",SELECT sprzedaz FROM kontrahent WHERE obrot > 4000;,SELECT kontrahent FROM sprzedaz WHERE grupa_cenowa = 2 OR obrot > 4000;,SELECT kontrahent FROM sprzedaz WHERE grupa_cenowa = 2 AND obrot > 4000;,SELECT sprzedaz FROM kontrahent WHERE grupa_cenowa = 2 AND obrot > 4000;,2,
"Dana jest tabela programiści o polach: id, nick, ilosc_kodu, ocena. Pole ilosc_kodu zawiera liczbę linii kodu napisanych przez programistę w danym miesiącu. Aby policzyć sumę linii kodu, który napisali wszyscy programiści, należy użyć polecenia",SELECT SUM(ocena) FROM ilosc_kodu;,SELECT SUM(ilosc_kodu) FROM programisci;,SELECT COUNT(programisci) FROM ilosc_kodu;,SELECT MAX(ilosc_kodu) FROM programisci,1,
"W instrukcji CREATE TABLE użycie klauzuli PRIMARY KEY przy deklaracji pola tabeli spowoduje, że pole to stanie się",kluczem obcym,indeksem klucza,indeksem unikalnym,kluczem podstawowym,3,
"Baza danych księgarni zawiera tabelę ksiazki z polami: id, idAutor, tytul, ileSprzedanych oraz tabelę autorzy z polami: id, imie, nazwisko. Aby stworzyć raport sprzedanych książek z tytułami i nazwiskami autorów, należy",stworzyć kwerendę wyszukującą tytuły książek,"Zdefiniować relację 1..n dla tabel ksiazki i autorzy, a następnie stworzyć kwerendę łączącą obie tabele","Zdefiniować relację 1..1 dla tabel ksiazki i autorzy, a następnie stworzyć kwerendę łączącą obie tabele","stworzyć dwie osobne kwerendy: pierwszą wyszukującą tytuły książek, drugą wyszukującą nazwiska autorów",1,
"Istnieje tabela pracownicy z polami: id, imie, nazwisko, pensja. W nowym roku postawiono podnieść pensję wszystkim pracownikom o 100 zł. Aktualizacja ta w bazie danych będzie miała postać",UPDATE pracownicy SET pensja = pensja + 100;,UPDATE pracownicy SET pensja = 100;,UPDATE pensja SET +100;,UPDATE pensja SET 100;,0,
W tabeli artykuly wykonano następujące polecenia dotyczące praw użytkowania jan. Po wykonaniu poleceń użytkownik jan będzie miał prawa do,tworzenia tabeli i aktualizowania w niej danych,aktualizowania danych i przeglądania tabeli,tworzenia tabeli i wypełniania jej danymi,przeglądania tabeli,2,images/307.jpg
"Aby przywrócić bazę danych MS SQL z kopii bezpieczeństwa, należy zastosować polecenie",DBCC CHECKDB,SAVE DATABASE,RESTORE DATABASE,REBACKUP DATABASE,2,
Baza danych MySQL uległa uszkodzeniu. Które z działań NIE pomoże przy jej naprawie?,Wykonanie replikacji bazy danych,Próba naprawy poleceniem REPAIR,Odtworzenie bazy z kopii bezpieczeństwa,Stworzenie nowej bazy i przeniesienie do niej tabel,0,
"W formularzu, dane z pola input o typie number zostały zapisane do zmiennej a, a następnie przetworzone w skrypcie JavaScript w następujący sposób. Zmienna x będzie typu",NaN,napisowego,zmiennoprzecinkowego,"liczbowego, całkowitego",3,images/310.jpg
Wstawki kodu JavaScript w dokumencie HTML mogą się znaleźć,"tylko w cześci <head>, w znaczniku <script>","tylko w cześci <body>, w znaczniku <java>","zarówno w cześci <head>, jak i <body>, w znaczniku <java>","zarówno w cześci <head>, jak i <body>, w znaczniku <script>",3,
"W przedstawonym kodzie JavaScript dla ułatwienia ponumerowano linie. W kodzie znajduje się błąd, gdyż po uruchomieniu żaden komunikat nie zostaje wyświetlony. Aby wyeliminować błąd, należy",wstawić znaki $ przed nazwami zmiennych.,wstawić nawiasy klamrowe do sekcji if oraz else,w liniach 2 i 5 zmienne a i b wstawić w cudzysłów,"w liniach 3 i 6 zamienić znaki cudzysłowu na apostrof, np. ’jest mniejsze’",1,images/312.jpg
"Ile iteracji będzie miała przedstawiona pętla zapisana w języku PHP, zakładając, że zmienna sterująca nie jest modyfikowana we wnętrzu pętli?",0,10,11,Nieskończenie wiele,2,images/313.jpg
W języku JavaScript metoda document.getElementById(id) ma za zadanie,wstawić tekst o treści ’id’ na stronie WWW,sprawdzić poprawność formularza o identyfikatorze id,pobrać dane z pola formularza i wstawić je do zmiennej id,zwrócić odniesienie do pierwszego elementu HTML o podanym id,3,
"W instrukcji warunkowej JavaScript należy sprawdzić przypadek, gdy zmienne a oraz b są dodatnie, z czego zmienna b jest mniejsza od 100. Warunek taki powinien być zapisany w następujący sposób:",if ( a > 0 || b > 0 || b > 100),if ( a > 0 && b > 0 || b > 100),if ( a > 0 || (b > 0 && b < 100)),if ( a > 0 && b > 0 && b < 100),3,
Zadaniem przedstawionej funkcji zapisanej w języku JavaScript jest,zwrócenie wartości parzystych liczb od a do b,wypisanie liczb parzystych z przedziału od a do b,wypisanie wszystkich liczb z przedziału od a do b,"sprawdzenie, czy liczba a jest nieparzysta; jeśli tak, wypisanie jej",1,images/316.jpg
Przedstawiony kod został zapisany w języku JavaScript. W podanej definicji obiektu metodą jest element o nazwie,obj1,oblicz,czescCalkowita,czescUlamkowa,1,images/317.jpg
"Aby uzyskać informacje o środowisku pracy serwera obsługującego PHP, należy skorzystać z funkcji",php(),phpinfo(),phpgetinfo(),phpinformation(),1,
Fragment kodu w języku PHP wypisze,"nazwę konta ze znakiem @, czyli ""adres@""","cały adres e-mail, czyli ""[email protected]""","samą nazwę domeny, czyli ""host.pl""","samą nazwę konta, czyli ""adres""",3,images/319.jpg
Do uruchomienia skryptu JavaScript wymagane jest oprogramowanie,serwera WWW,serwera MySQL,debugera JavaScript,przeglądarki internetowej,3,
Zadaniem funkcji PHP o nazwie mysql_select_db() jest,połączyć bazę danych z serwerem SQL,"określić bazę, z której będą pobierane dane","określić tabelę, z której będą pobierane dane",pobrać dane z bazy danych na podstawie kwerendy,1,
"W przedstawionym kodzie PHP, zamiast znaków zapytania powinien pojawić się komunikat:",Błąd przetwarzania zapytania,Zapytanie przetworzono pomyślnie,Nieprawidłowa nazwa bazy danych,Nieprawidłowe hasło do bazy danych,0,images/322.jpg
Testy wydajnościowe mają na celu sprawdzenie,zdolności oprogramowania do działania w warunkach wadliwej pracy sprzętu,zdolności oprogramowania do działania w warunkach wadliwej pracy systemu,stopnia spełnienia wymagań wydajnościowych przez system lub moduł,"ciągu zdarzeń, w którym prawdopodobieństwo każdego zdarzenia zależy jedynie od wyniku poprzedniego",2,
"Aby prawidłowo udokumentować przedstawioną linię kodu języka JavaScript, należy po znakach // wpisać komentarz",nieprawidłowe dane,zmiana stylu atrybutu innerHTML,"wyświetlenie tekstu ""Date()"" w znaczniku o id = napis",wyświetlenie daty i czasu w znaczniku o id = napis,3,images/324.jpg
Przekierowanie 301 służące przekierowaniu użytkownika z jednego adresu URL na inny można ustawić w pliku konfiguracji serwera Apache o nazwie,conf.php,.htaccess,.apacheConf,configuration.php,1,
"W języku HTML aby zdefiniować słowa kluczowe strony, należy użyć zapisu","<meta keywords=""psy, koty, gryzonie"">","<meta name=""keywords"" =""psy, koty, gryzonie"">","<meta name=""keywords"" content=""psy, koty, gryzonie"">","<meta name=""description"" content=""psy, koty, gryzonie"">",2,
W języku HTML zdefiniowano znacznik a. Wartość nofollow atrybutu rel,"oznacza, że kliknięcie na link nie przeniesie do strony website.com","oznacza, że kliknięcie na link otworzy go w osobnej karcie przeglądarki","jest informacją dla robota wyszukiwarki Google, aby nie podążał za tym linkiem","jest informacją dla przeglądarki internetowej, aby nie formatowała słowa ""link"" jako odnośnika",2,images/327.jpg
"W języku HTML aby zdefiniować poziomą linię, należy użyć znacznika",<line>,<br>,<hl>,<hr>,3,
"Zapisano kod HTML wstawiający grafikę na stronę internetową. Jeżeli rysunek.png nie zostanie odnaleziony, przeglądarka",nie wyświetli strony internetowej,"w miejscu grafiki wypisze tekst ""pejzaż""","w miejscu grafiki wypisze tekst ""rysunek.png""",w miejscu grafiki wypisze błąd wyświetlania strony,1,images/329.jpg
Aby w języku HTML uzyskać takie formatowanie paragrafu dla tekstu należy zastosować kod,<p>Tekst może być <mark>zaznaczony</mark> albo <em>istotny dla autora</p>,<p>Tekst może być <mark>zaznaczony albo <i>istotny</i> dla autora</mark></p>,<p>Tekst może być <mark>zaznaczony</mark> albo <em>istotny</em> dla autora</p>,<p>Tekst może być <mark>zaznaczony albo <em>istotny</em> dla autora</mark></p>,2,images/330.jpg
Zamieszczony kod HTML formularza zostanie wyświetlony przez przeglądarkę w sposób:,A,B,C,D,3,images/331.jpg
W języku CSS wcięcie pierwszej linii akapitu na 30 pikseli uzyska się za pomocą zapisu,p { text-indent: 30px; },p { text-spacing: 30px; },p { line-height: 30px; },p { line-indent: 30px; },0,
W języku CSS zdefiniowano następujące formatowanie. Kolorem czerwonym zostanie zapisany,tylko tekst pochylony nagłówka pierwszego stopnia,tylko tekst pochylony we wszystkich poziomach nagłówków,cały tekst nagłówka pierwszego stopnia oraz pochylony tekst akapitu,"cały tekst nagłówka pierwszego stopnia oraz cały tekst pochylony, niezależnie od tego, w którym miejscu strony się znajduje",0,images/333.jpg
"W języku CSS, aby sformatować dowolny element języka HTML w ten sposób, że po najechaniu na niego kursorem zmienia on kolor czcionki, należy zastosować pseudoklasę",:active,:hover,:visited,:coursor,1,
"Zapis CSS w takiej postaci sprawi, że na stronie internetowej",punktorem listy nienumerowanej będzie rys.gif,rys.gif będzie stanowił ramkę dla listy nienumerowanej,wyświetli się rys.gif jako tło listy nienumerowanej,każdy z punktów listy będzie miał osobne tło pobrane z grafiki rys.gif,0,images/335.jpg
"W języku CSS aby zdefiniować odmienne formatowanie dla pierwszej litery akapitu, należy zastosować selektor",klasy p.first-letter,dziecka p + first-letter,atrybutu p [first-letter],pseudoelementu p::first-letter,3,
W kodzie źródłowym zapisanym w języku HTML wskaż błąd walidacji dotyczący tego fragmentu,Nieznany znacznik h6,Znacznik br nie został poprawnie zamknięty,Znacznik br nie może występować wewnątrz znacznika p,Znacznik zamykający /b niezgodny z zasadą zagnieżdżania,3,images/337.jpg
W ramce przedstawiono właściwości pliku graficznego. W celu optymalizacji czasu ładowania rysunku na stronę WWW należy,zmniejszyć wymiary rysunku,zwiększyć rozdzielczość,zmienić format grafiki na CDR,zmienić proporcje szerokości do wysokości,0,images/338.jpg
"W programie INKSCAPE / COREL aby uzyskać przedstawiony efekt napisu, należy",skorzystać z funkcji gradientu,zastosować funkcję sumy z kołem,zastosować funkcję wykluczenia z kołem,skorzystać z funkcji wstaw / dopasuj tekst do ścieżki,3,images/339.jpg
Programem do edycji dźwięku jest,Brasero,Winamp,Audacity,RealPlayer,2,
"Dana jest tabela pracownicy. Polecenie MySQL usuwające wszystkie rekordy z tabeli, dla których nie wypełniono pola rodzaj_umowy, ma postać",DROP pracownicy FROM rodzaj_umowy = 0;,DROP pracownicy WHERE rodzaj_umowy IS NULL;,DELETE pracownicy WHERE rodzaj_umowy = 'brak';,DELETE FROM pracownicy WHERE rodzaj_umowy IS NULL;,3,
"W języku SQL, aby stworzyć tabelę, należy zastosować polecenie",ADD TABLE,ALTER TABLE,INSERT TABLE,CREATE TABLE,3,
"W przedstawionym fragmencie kwerendy języka SQL, komenda SELECT ma za zadanie zwrócić",średnią tabeli,liczbę wierszy,sumę w kolumnie wartosc,średnią w kolumnie wartosc,1,images/343.jpg
"Dana jest tabela ksiazki z polami: tytul, autor (typu tekstowego), cena (typu liczbowego). Aby kwerenda SELECT zwróciła tylko tytuły, dla których cena jest mniejsza od 50zł, należy zapisać:",SELECT * FROM ksiazki WHERE cena < 50;,SELECT tytul FROM ksiazki WHERE cena < 50;,SELECT tytul FROM ksiazki WHERE cena > '50 zł';,SELECT ksiazki FROM tytul WHERE cena < '50 zł';,1,
"W bazie danych MYSQL dana jest tabela programów komputerowych o polach: nazwa, producent, rokWydania. Aby kwerenda SELECT zwróciła wszystkie nazwy producentów tak, by nazwy te nie powtarzały się, należy zapisać:",SELECT UNIQUE producent FROM programy;,SELECT DISTINCT producent FROM programy;,SELECT producent FROM programy WHERE UNIQUE;,SELECT producent FROM programy WHERE producent NOT DUPLICATE;,1,
"Tabela filmy zawiera klucz główny id oraz klucz obcy rezyserID. Tabela rezyserzy zawiera klucz główny id. Obydwie tabele połączone są relacją jeden po stronie rezyserzy do wielu po stronie filmy. Aby w kwerendzie SELECT połączyć tabele filmy i rezyserzy, należy zapisać",... filmy JOIN rezyserzy ON filmy.id = rezyserzy.id ...,... filmy JOIN rezyserzy ON filmy.id = rezyserzy.filmyID ...,... filmy JOIN rezyserzy ON filmy.rezyserID = rezyserzy.id ...,... filmy JOIN rezyserzy ON filmy.rezyserID = rezyserzy.filmyID ...,2,
"Na rysunku przedstawiono dwie tabele. Aby połączyć je relacją jeden do wielu, jeden po stronie Klienci wiele po stronie Zamowienia, należy",Połączyć relacją pola ID z obu tabel,Dodać pole klucza obcego do tabeli Zamowienia i połączyć je z ID tabeli Klienci,Dodać pole klucza obcego do tabeli Klienci i połączyć je z ID tabeli Zamowienia,"Zdefiniować trzecią tabelę z dwoma kluczami obcymi. Jeden klucz połączyć z ID tabeli Klienci, drugi klucz połączyć z ID tabeli Zamowienia",1,images/347.jpg
Źródłem rekordów dla raportu może być,Tabela,Inny raport,Makropolecenie,Zapytanie INSERT INTO,0,
Przedstawione polecenie MySQL ma za zadanie,Usunąć kolumnę tytul z tabeli ksiazki,Dodać do tabeli ksiazki kolumnę tytul,Zmienić nazwę kolumny w tabeli ksiazki,Zmienić typ kolumny w tabeli ksiazki,3,images/349.jpg
"W tabeli podzespoly należy zmienić wartość pola URL na 'toshiba.pl' dla wszystkich rekordów, gdzie pole producent to TOSHIBA. W języku SQL modyfikacja będzie miała postać",UPDATE podzespoly SET URL='toshiba.pl';,UPDATE producent='TOSHIBA' SET URL='toshiba.pl';,UPDATE podzespoly.producent='TOSHIBA' SET URL='toshiba.pl';,UPDATE podzespoly SET URL='toshiba.pl' WHERE producent='TOSHIBA';,3,
Do zabezpieczeń serwera bazy danych przed atakami hakerów nie należy,Włączenie zapory,Defragmentacja dysków,Stosowanie złożonych haseł do bazy,Blokowanie portów związanych z bazą danych,1,
"W języku MySQL należy zastosować polecenie REVOKE, aby użytkownikowi anna odebrać prawo do dokonywania zmian jedynie w definicji struktury bazy danych. Polecenie odpowiadające odebraniu tych praw ma postać",REVOKE ALL ON tabela1 FROM 'anna'@'localhost',REVOKE CREATE ALTER DROP ON tabela1 FROM 'anna'@'localhost',REVOKE CREATE UPDATE DROP ON tabela1 FROM 'anna'@'localhost',REVOKE CREATE INSERT DELETE ON tabela1 FROM 'anna'@'localhost',1,
"W języku JavaScript, aby sprawdzić warunek czy liczba znajduje się w przedziale (100;200>, należy zapisać:",if (liczba > 100 || liczba <= 200),if (liczba < 100 || liczba >= 200),if (liczba > 100 && liczba <= 200),if (liczba < 100 && liczba <= 200),2,
W wyniku działania pętli zapisanej w języku PHP zostanie wypisany ciąg liczb,10 15 20 25 30 35 40 45,10 15 20 25 30 35 40 45 50,0 5 10 15 20 25 30 35 40 45,0 5 10 15 20 25 30 35 40 45 50,0,images/354.jpg
Które z poniższych zdań dotyczących zasad programowania w języku PHP jest prawdziwe?,Jest to język o słabej kontroli typów,Nazwy zmiennych są poprzedzone znakiem !,Deklaracja zmiennych następuje po słowie var,W nazwach zmiennych nie jest rozróżniana wielkość liter,0,
W języku PHP instrukcja foreach jest instrukcją,"Wyboru, dla elementów tablicy","Pętli, niezależnie od typu zmiennej","Pętli, wyłącznie dla elementów tablicy","Warunkową, niezależnie od typu zmiennej",2,
Funkcją języka PHP tworzącą ciasteczko jest,createcookie(),echocookie(),addcookie(),setcookie(),3,
W języku PHP funkcja trim ma za zadanie,Podawać długość napisu,Porównywać dwa napisy i wypisać część wspólną,Zmniejszać napis o wskazaną w parametrze liczbę znaków,"Usuwać białe znaki lub inne znaki podane w parametrze, z obu końców napisu",3,
"W języku JavaScript zapis w ramce oznacza, że",nazwa jest polem klasy przedmiot,nazwa jest właściwością obiektu przedmiot,zmienna x będzie przechowywać wynik działania metody nazwa,zmienna x będzie przechowywać wynik działania funkcji przedmiot,2,images/359.jpg
W języku JavaScript zapisano następującą funkcję. Ma ona za zadanie,Wypisać wartość odwrotną do f,Zwrócić wartość odwrotną do f,Wypisać wartość bezwzględną z f,Zwrócić wartość bezwzględną z f,3,images/360.jpg
Za pomocą języka PHP nie jest możliwe,Przetwarzanie danych formularzy,Generowanie dynamicznej zawartości strony,Przetwarzanie danych zgromadzonych w bazie danych,Zmienianie dynamiczne zawartości strony HTML w przeglądarce,3,
Działaniem przedstawionego kodu PHP będzie wypełnienie tablicy,Kolejnymi liczbami od 0 do 9 i wypisanie ich,Kolejnymi liczbami od -100 do 100 i wypisanie wartości ujemnych,"10 losowymi wartościami, a następnie wypisanie wartości ujemnych","100 losowymi wartościami, a następnie wypisanie wartości dodatnich",2,images/362.jpg
W języku JavaScript zapisano fragment kodu. Po wykonaniu skryptu zmienna x,Będzie równa 11 i zostanie wypisana w oknie popup,Będzie równa 10 i zostanie wypisana w dokumencie HTML,Będzie równa 11 i zostanie wypisana w konsoli przeglądarki internetowej,Będzie równa 10 i zostanie wypisana w głównym oknie przeglądarki internetowej,2,images/363.jpg
"W języku PHP, wykonując operacje na bazie danych MySQL, aby zakończyć pracę z bazą, należy wywołać",mysqli_exit();,mysqli_close();,mysqli_commit();,mysqli_rollback();,1,
"W ramce przedstawiono kod JavaScript z błędem logicznym. Program powinien wypisywać informację, czy liczby są sobie równe czy nie, lecz nie wykonuje tego. Wskaż odpowiedź, która dotyczy błędu",Nieprawidłowo zadeklarowano zmienne,Przed klauzulą else nie powinno być średnika,W klauzuli if występuje przypisanie zamiast porównania,Instrukcje wewnątrz sekcji if oraz else powinny być zamienione miejscami,2,images/365.jpg
Która z zasad tworzenia części <head> języka HTML jest poprawna?,W części <head> zawiera się część <body>,"W części <head> mogą wystąpić znaczniki <meta>, <title>, <link>",W części <head> można definiować szablon strony znacznikami <div>,"W części <head> nie można umieszczać kodu CSS, a jedynie odwołanie do pliku CSS",1,
W języku HTML znacznik <strong>tekst</strong> będzie wyświetlany w ten sam sposób przez przeglądarkę co znacznik,<b>tekst</b>,<h1>tekst</h1>,<big>tekst</big>,<sub>tekst</sub>,0,
"Aby strona WWW była responsywna, należy między innymi definiować","jedynie znane czcionki, np. Arial",rozmiary obrazów w procentach,rozmiary obrazów wyłącznie w pikselach,rozkład strony wyłącznie za pomocą tabel,1,
"W języku HTML, aby zapisać sekcję cytatu, która może zawierać kilka paragrafów tak, by przeglądarka dodała wspólne wcięcie, należy zastosować znacznik",<q>,<indent>,<blockq>,<blockquote>,3,
"W języku CSS wartości underline, overline, blink przyjmują atrybut",text-style,font-style,font-weight,text-decoration,3,
"W przedstawionej definicji stylu CSS, powtarzanie dotyczy",tła każdego ze znaczników akapitu,rysunku umieszczonego znacznikiem img,rysunku umieszczonego w tle strony w pionie,rysunku umieszczonego w tle strony w poziomie,2,images/371.jpg
W języku CSS zdefiniowano styl. Sformatowana stylem sekcja będzie zawierała obramowanie o szerokości,2 px oraz marginesy wewnątrz tego obramowania,20 px oraz marginesy wewnątrz tego obramowania,2 px oraz marginesy na zewnątrz tego obramowania,20 px oraz marginesy na zewnątrz tego obramowania,2,images/372.jpg
"Strona HTML definiuje akapit oraz rysunek. Aby rysunek został umieszczony przez przeglądarkę w tej samej linii co akapit po jego lewej stronie, należy w stylu CSS rysunku zawrzeć własność",float:left;,align:left;,style:left;,alt:left;,0,
"W języku CSS określono formatowanie znacznika h1 według wzoru. Zakładając, że żadne inne formatowanie nie jest dodane do znacznika h1, wskaż sposób formatowania tego znacznika",A,B,C,D,2,images/374.jpg
"Aby przygotować szablon strony z trzema kolumnami ustawionymi obok siebie, można posłużyć się stylem CSS",A,B,C,D,0,images/375.jpg
"Przedstawiono fragment kodu HTML, który nie waliduje się poprawnie. Błąd walidacji tego fragmentu kodu będzie dotyczył",Braku cudzysłowu,Niedomknięcia znacznika br,Niedomknięcia znacznika img,Powtórzenia nazwy pliku graficznego,0,images/376.jpg
Modelem barw opisującym kolor z użyciem stożka przestrzeni barw jest,CIE,HSV,CMY,CMYK,1,
"Rozmycie Gaussa, wygładzanie, szum RGB są funkcjami programu do obróbki",Grafiki rastrowej,Grafiki wektorowej,Ścieżki dźwiękowej,Dźwięku w formacie MIDI,0,
"Aby edytować nakładające się na siebie pojedyncze fragmenty obrazu, pozostawiając pozostałe elementy niezmienione, należy zastosować",Warstwy,Histogram,Kanał alfa,Kadrowanie,0,
W języku SQL wykorzystywanym przez bazę danych MySQL atrybut UNIQUE polecenia CREATE TABLE,Wymusza unikatowe nazwy pól tabeli,Blokuje możliwość wpisania wartości NULL,Jest stosowany tylko w przypadku pól liczbowych,"Jest stosowany, jeśli wartość w kolumnie nie mogą się powtarzać",3,
Funkcja agregująca MIN języka SQL ma za zadanie policzyć,Liczbę wierszy zwróconych kwerendą,Wartość minimalną kolumny zwróconej kwerendą,długość znaków w zwróconych kwerendą rekordach,Średnią wartości różnych pól rekordu zwróconego zapytaniem,1,
"Dana jest tabela o nazwie wycieczki z polami: nazwa, cena, miejsca (jako liczba wolnych miejsc). Aby dla dowolnego zbioru danych tabeli wyświetlić jedynie nazwy tych wycieczek, dla których cena jest niższa niż 2000 zł i mają przynajmniej cztery wolne miejsca, należy posłużyć się zapytaniem",SELECT nazwa FROM wycieczki WHERE cena < 2000 AND miejsca > 3;,SELECT nazwa FROM wycieczki WHERE cena < 2000 OR miejsca > 4;,SELECT * FROM wycieczki WHERE cena < 2000 AND miejsca > 4;,SELECT * FROM wycieczki WHERE cena < 2000 OR miejsca > 3;,0,
"Dana jest tabela o nazwie przedmioty z polami: ocena i uczenID. Aby policzyć średnią ocen ucznia o ID równym 7, należy posłużyć się zapytaniem",AVG SELECT ocena FROM przedmioty WHERE uczenID = 7;,SELECT AVG(ocena) FROM przedmioty WHERE uczenID = 7;,COUNT SELECT ocena FROM przedmioty WHERE uczenID = 7;,SELECT COUNT(ocena) FROM przedmioty WHERE uczenID = 7;,1,
"Tabela o nazwie naprawy zawiera pola: klient, czyNaprawione. Aby usunąć te rekordy, w których pole czyNaprawione jest prawdą, należy posłużyć się poleceniem",DELETE FROM naprawy;,DELETE naprawy WHERE czyNaprawione = TRUE;,DELETE FROM naprawy WHERE czyNaprawione = TRUE;,DELETE klient FROM naprawy WHERE czyNaprawione = TRUE;,2,
"Formularz nadrzędny wykorzystywany do nawigacji w bazie danych pomiędzy dostępnymi w systemie formularzami, kwerendami jest nazywany formularzem",głównym,sterującym,pierwotnym,zagnieżdżonym,1,
"W bazie danych sklepu komputerowego istnieje tabela komputery. Aby zdefiniować raport wyświetlający dla dowolnego zbioru danych tabeli, jedynie pola tabeli dla komputerów, w których jest nie mniej niż 8 GB pamięci, a procesor to Intel, można posłużyć sie kwerendą","SELECT * FROM komputery WHERE procesor = ""Intel"" OR pamiec < 8;","SELECT * FROM komputery WHERE procesor = ""Intel"" OR pamiec >= 8;","SELECT * FROM komputery WHERE procesor = ""Intel"" AND pamiec < 8;","SELECT * FROM komputery WHERE procesor = ""Intel"" AND pamiec >= 8;",3,
Za pomocą polecenia ALTER TABLE można,zmienić wartości rekordów,zmienić strukturę tabeli,usunąć rekord,usunąć tabelę,1,
"W języku SQL, wykorzystywanym przez bazę danych MySQL w tabeli samochody, aby nadać wartość równą 0 dla kolumny przebieg, należy posłużyć się kwerendą",UPDATE samochody SET przebieg = 0;,UPDATE przebieg SET 0 FROM samochody;,UPDATE przebieg SET 0 TABLE samochody;,UPDATE samochody SET przebieg VALUE 0;,0,
"Przedstawione polecenie SQL, użytkownikowi adam@localhost nadaje prawa",zarządzania strukturą tabeli klienci,manipulowania danymi w tabeli klienci,zarządzania strukturą bazy danych klienci,manipulowania danymi bazy danych klienci,1,images/389.jpg
W języku JavaScript przedstawiona definicja jest definicją,klasy,tablicy,obiektu,kolekcji,1,images/390.jpg
"Dla każdej iteracji pętli wartość bieżącego elementu tablicy jest przypisywana do zmiennej, a wskaźnik tablicy jest przesuwany o jeden, aż do ostatniego elementu tablicy. Zdanie to jest prawdziwe dla instrukcji",for,next,while,foreach,3,
